,Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7,Season 8,accuracy,macro avg,weighted avg
precision,0.29069767441860467,0.27411167512690354,0.23817567567567569,0.25645438898450945,0.2540045766590389,0.32608695652173914,0.3888888888888889,0.24691358024691357,0.2779481460830778,0.28441667706528423,0.2821112720880021
recall,0.31446540880503143,0.3679727427597956,0.2630597014925373,0.28820116054158607,0.24395604395604395,0.24475524475524477,0.28688524590163933,0.09090909090909091,0.2779481460830778,0.26252557989012115,0.2779481460830778
f1-score,0.3021148036253777,0.3141818181818182,0.25,0.27140255009107467,0.24887892376681617,0.2796271637816245,0.330188679245283,0.13289036544850497,0.2779481460830778,0.2661605380175624,0.2749187364309398
support,477.0,587.0,536.0,517.0,455.0,429.0,366.0,220.0,0.2779481460830778,3587.0,3587.0
