,0,1,2,3,4,5,6,7
0,160,78,44,100,25,14,44,12
1,92,156,65,138,61,14,55,6
2,51,104,76,164,60,16,53,12
3,49,87,52,184,58,29,45,13
4,46,62,34,137,59,24,81,12
5,37,46,35,119,52,35,93,12
6,39,39,22,80,40,13,116,17
7,16,22,7,73,20,16,47,19
