,Season 1,Season 5,Season 2,Season 4,Season 8,Season 3,Season 7,Season 6,accuracy,macro avg,weighted avg
precision,0.29817444219066935,0.2606060606060606,0.16990701606086223,0.19714285714285715,0.17266187050359713,0.17073170731707318,0.2813688212927757,0.08571428571428572,0.20797323668804016,0.20453838260352264,0.21238950912200893
recall,0.3081761006289308,0.21976149914821125,0.375,0.13346228239845262,0.15824175824175823,0.0979020979020979,0.20218579234972678,0.05454545454545454,0.20797323668804016,0.19365937315182902,0.20797323668804016
f1-score,0.3030927835051547,0.23844731977818856,0.23385689354275743,0.15916955017301038,0.16513761467889906,0.12444444444444445,0.23529411764705885,0.06666666666666667,0.20797323668804016,0.19076367380452253,0.20114033506862997
support,477.0,587.0,536.0,517.0,455.0,429.0,366.0,220.0,0.20797323668804016,3587.0,3587.0
