,Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7,Season 8,accuracy,macro avg,weighted avg
precision,0.32653061224489793,0.26262626262626265,0.22686567164179106,0.1849246231155779,0.15733333333333333,0.21739130434782608,0.21722846441947566,0.18446601941747573,0.22442152216336772,0.22217078639333004,0.22638930215624284
recall,0.33542976939203356,0.2657580919931857,0.1417910447761194,0.35589941972920697,0.12967032967032968,0.08158508158508158,0.31693989071038253,0.08636363636363636,0.22442152216336772,0.21417965802749697,0.22442152216336772
f1-score,0.3309203722854188,0.2641828958509737,0.17451205510907003,0.2433862433862434,0.1421686746987952,0.11864406779661017,0.2577777777777778,0.11764705882352944,0.22442152216336772,0.20615489321605232,0.21413649247124514
support,477.0,587.0,536.0,517.0,455.0,429.0,366.0,220.0,0.22442152216336772,3587.0,3587.0
